TimeStamp,WS,dir,Q_E,Q_H
2017-09-24 00:30:00,0.545,244.0,0.159,-2.455,
2017-09-24 01:00:00,0.504,227.0,-0.498,-2.203,
2017-09-24 01:30:00,0.57,253.0,-1.001,-2.545,
2017-09-24 02:00:00,0.58,251.0,1.391,-3.275,
2017-09-24 02:30:00,0.669,262.0,-7.958,-6.281,
2017-09-24 03:00:00,0.616,249.0,-7.027,-3.593,
2017-09-24 03:30:00,0.538,269.0,nan,-7.969,
2017-09-24 04:00:00,0.545,261.0,nan,-1.867,
2017-09-24 04:30:00,0.629,268.0,nan,-5.646,
2017-09-24 05:00:00,0.57,258.0,nan,-4.719,
2017-09-24 05:30:00,0.469,258.0,nan,-1.881,
2017-09-24 06:00:00,0.541,262.0,nan,-4.292,
2017-09-24 06:30:00,0.364,260.0,nan,-5.378,
2017-09-24 07:00:00,0.44,255.0,nan,-0.587,
2017-09-24 07:30:00,0.759,262.0,nan,8.678,
2017-09-24 08:00:00,0.832,250.0,28.365,16.61,
2017-09-24 08:30:00,1.29,285.0,30.795,20.662,
2017-09-24 09:00:00,1.75,292.0,54.596,20.843,
2017-09-24 09:30:00,2.11,296.0,77.486,46.21,
2017-09-24 10:00:00,2.087,300.0,74.651,50.331,
2017-09-24 10:30:00,2.56,296.0,96.004,25.086,
2017-09-24 11:00:00,2.861,296.0,87.78,47.61,
2017-09-24 11:30:00,2.037,304.0,101.308,22.98,
2017-09-24 12:00:00,2.737,294.0,92.887,23.383,
2017-09-24 12:30:00,2.742,297.0,85.805,38.912,
2017-09-24 13:00:00,2.194,295.0,95.285,39.959,
2017-09-24 13:30:00,2.633,298.0,104.251,38.753,
2017-09-24 14:00:00,2.403,299.0,103.94,35.224,
2017-09-24 14:30:00,1.567,318.0,97.866,7.405,
2017-09-24 15:00:00,1.989,300.0,46.642,-9.934,
2017-09-24 15:30:00,1.857,295.0,44.766,-0.593,
2017-09-24 16:00:00,1.838,297.0,37.691,-5.785,
2017-09-24 16:30:00,1.43,304.0,19.724,-12.266,
2017-09-24 17:00:00,0.983,311.0,-4.016,-11.192,
2017-09-24 17:30:00,0.851,347.0,1.321,-4.906,
2017-09-24 18:00:00,0.637,327.0,9.121,-10.627,
2017-09-24 18:30:00,0.724,313.0,4.598,-7.134,
2017-09-24 19:00:00,1.071,296.0,-3.338,-7.645,
2017-09-24 19:30:00,0.64,298.0,1.227,-5.894,
2017-09-24 20:00:00,0.964,293.0,1.495,-5.773,
2017-09-24 20:30:00,1.154,293.0,4.156,-6.924,
2017-09-24 21:00:00,1.009,297.0,9.013,-5.899,
2017-09-24 21:30:00,0.667,290.0,nan,-4.258,
2017-09-24 22:00:00,0.872,281.0,nan,-7.341,
2017-09-24 22:30:00,1.04,286.0,nan,-3.403,
2017-09-24 23:00:00,0.978,297.0,nan,-4.28,
2017-09-24 23:30:00,0.259,222.0,1.685,-4.321,
